,0,1,2,3,4,5,6,7,8,9,10,11
0,1640984400000,45873.21,46512.32,45750.00,46313.36,14059.734,1640987999999,648426828.84159,128106,7952.991,366928169.05569,0
1,1640988000000,46313.36,46558.39,46219.32,46298.11,7150.272,1640991599999,331727368.74904,77699,3342.791,155104356.69072,0
2,1640991600000,46298.12,46508.15,46127.85,46210.56,5416.188,1640995199999,251092382.89679,56692,2656.732,123219261.55928,0
3,1640995200000,46210.57,46729.73,46210.55,46650.01,8957.465,1640998799999,416444814.26569,91267,4777.701,222129624.36157,0
4,1640998800000,46650.00,46944.56,46570.34,46766.78,7276.249,1641002399999,340380570.81459,73308,3689.837,172618899.69687,0
5,1641002400000,46767.44,46917.87,46709.44,46796.14,4478.713,1641005999999,209685983.32128,46403,2103.345,98487220.40720,0
6,1641006000000,46796.15,46888.00,46746.32,46789.56,4208.992,1641009599999,197079681.69312,39070,1928.027,90284098.22469,0
7,1641009600000,46789.55,46868.74,46605.00,46690.81,6149.298,1641013199999,287229210.68994,63606,2855.818,133405465.06087,0
8,1641013200000,46690.81,47566.66,46657.99,47184.18,14988.008,1641016799999,708047313.17553,143532,8193.570,386931696.72681,0
9,1641016800000,47184.19,47314.40,46914.84,46972.19,7474.840,1641020399999,352269561.13300,67979,3343.354,157600895.17479,0
10,1641020400000,46972.19,47247.44,46867.00,47186.83,6227.873,1641023999999,292936111.00053,61729,3478.601,163677285.82538,0
11,1641024000000,47186.83,47338.00,47060.74,47117.84,6294.515,1641027599999,297052698.37432,63154,3149.875,148669854.05999,0
12,1641027600000,47118.78,47200.00,46920.02,47137.37,5512.434,1641031199999,259413321.38537,61596,2654.172,124913145.40701,0
13,1641031200000,47137.01,47293.76,46700.09,46864.09,11859.238,1641034799999,556817130.44292,116532,5498.752,258247611.32864,0
14,1641034800000,46867.57,47003.92,46750.00,46755.01,5755.100,1641038399999,269873847.75194,66254,2745.393,128762806.56585,0
15,1641038400000,46755.01,47148.00,46755.01,47062.37,6002.673,1641041999999,282054454.11348,69332,3280.959,154162658.86416,0
16,1641042000000,47062.37,47200.00,46907.65,47005.55,5855.182,1641045599999,275464587.71129,62060,2589.425,121858091.34821,0
17,1641045600000,47005.55,47105.19,46830.23,46909.20,5335.895,1641049199999,250553858.46005,57202,2595.603,121893730.89559,0
18,1641049200000,46909.20,47488.64,46860.20,47194.78,11099.980,1641052799999,524149494.41732,114811,5853.755,276418647.21555,0
19,1641052800000,47194.77,47500.00,47157.59,47249.99,8978.195,1641056399999,425160916.28585,102216,4302.957,203773416.54140,0
20,1641056400000,47250.00,47943.77,47220.03,47733.16,13824.724,1641059999999,658748554.72755,144040,7277.957,346694733.46430,0
21,1641060000000,47733.16,47832.04,47400.44,47546.74,9854.730,1641063599999,468936962.76422,91829,4504.064,214384380.99707,0
22,1641063600000,47546.74,47603.90,47278.67,47326.98,5808.847,1641067199999,275307014.76965,62929,2847.100,134923235.15419,0
23,1641067200000,47326.99,47549.98,47223.00,47385.22,5905.027,1641070799999,279885456.88259,61971,2939.273,139324067.88691,0
24,1641070800000,47385.21,47533.59,47262.48,47322.20,5161.124,1641074399999,244636718.13224,47957,2895.982,137285552.62857,0
25,1641074400000,47322.19,47484.48,47202.47,47428.16,4628.942,1641077999999,219242035.62439,41729,2287.980,108371744.92161,0
26,1641078000000,47428.17,47813.43,47267.08,47704.35,7795.540,1641081599999,370462363.72043,72592,4192.719,199288778.20046,0
27,1641081600000,47704.35,47745.61,47352.58,47622.14,8231.279,1641085199999,391560234.07332,72120,3957.364,188246635.24442,0
28,1641085200000,47622.14,47633.11,47312.99,47381.21,4396.838,1641088799999,208596271.89121,49031,2099.249,99591904.95703,0
29,1641088800000,47381.21,47454.65,47282.50,47374.28,4189.093,1641092399999,198452328.23520,50374,2150.494,101887286.30228,0
30,1641092400000,47374.29,47470.00,47263.28,47330.75,4022.971,1641095999999,190488676.94860,43848,1904.813,90200463.00254,0
31,1641096000000,47330.76,47418.65,46749.99,46902.11,13039.814,1641099599999,613523563.56306,108795,5479.212,257829428.75259,0
32,1641099600000,46903.89,47091.58,46821.92,47077.70,7534.557,1641103199999,353803850.84919,66910,4315.061,202658010.76061,0
33,1641103200000,47076.58,47250.00,47005.30,47122.49,5991.521,1641106799999,282322283.00781,55191,3167.439,149254828.23666,0
34,1641106800000,47122.49,47294.01,47085.82,47171.04,4750.668,1641110399999,224109267.75057,46357,2594.290,122403539.65425,0
35,1641110400000,47171.39,47240.00,46963.66,47211.36,5703.105,1641113999999,268729204.57306,59031,2737.038,128988994.63704,0
36,1641114000000,47211.36,47500.00,47135.00,47263.18,8015.488,1641117599999,379368985.12048,76490,4365.480,206627866.88466,0
37,1641117600000,47263.18,47345.00,47121.53,47175.95,3869.990,1641121199999,182873956.71743,41847,1756.596,83022103.82320,0
38,1641121200000,47175.95,47374.70,47148.16,47231.30,4619.824,1641124799999,218357672.06018,46992,2471.444,116821528.71682,0
39,1641124800000,47231.29,47453.05,47002.47,47279.57,9127.342,1641128399999,430901679.62494,90069,4394.504,207466496.76929,0
40,1641128400000,47279.58,47291.91,47075.00,47133.07,5431.669,1641131999999,256181256.64552,57723,2703.306,127496193.27060,0
41,1641132000000,47133.08,47200.00,47006.66,47110.20,4712.418,1641135599999,222006243.97563,56305,2337.777,110146315.63549,0
42,1641135600000,47110.20,47400.00,47068.50,47329.68,7520.711,1641139199999,355263462.06941,82695,3864.141,182545928.07815,0
43,1641139200000,47329.68,47888.00,47263.50,47780.00,15064.059,1641142799999,716610741.99466,146998,8078.760,384381699.69576,0
44,1641142800000,47780.01,48000.00,47301.00,47402.30,17209.064,1641146399999,819902868.94486,166109,7704.297,367128429.12921,0
45,1641146400000,47401.60,47408.70,46605.68,47046.95,22919.292,1641149999999,1076893387.00753,209708,11517.526,541162810.81439,0
46,1641150000000,47046.96,47220.00,46836.60,46908.29,8671.035,1641153599999,407571942.58101,89475,4487.416,210945828.89943,0
47,1641153600000,46908.66,47051.73,46815.75,47012.47,4540.095,1641157199999,213196253.75005,51480,2329.891,109423939.80750,0
48,1641157200000,47012.47,47185.65,46916.95,47023.47,4366.636,1641160799999,205471224.34639,49865,2149.946,101169089.43333,0
49,1641160800000,47020.94,47400.00,47014.81,47261.73,5800.066,1641164399999,273988851.88247,68785,3013.811,142358460.71587,0
50,1641164400000,47261.81,47469.46,47261.81,47280.00,5067.558,1641167999999,239974115.99532,59046,2401.458,113739788.70358,0
51,1641168000000,47280.01,47288.28,47050.00,47059.43,5586.727,1641171599999,263554829.59713,58337,2495.840,117751698.77575,0
